"Tanggal","Harga_Jual","Suku_Bunga","TheFed","Inflasi"
"2015-01-02","12536.0","7.75","0.25","6.96"
"2015-01-05","12652.0","7.75","0.25","6.96"
"2015-01-06","12721.0","7.75","0.25","6.96"
"2015-01-07","12796.0","7.75","0.25","6.96"
"2015-01-08","12795.0","7.75","0.25","6.96"
"2015-01-09","12703.0","7.75","0.25","6.96"
"2015-01-12","12631.0","7.75","0.25","6.96"
"2015-01-13","12671.0","7.75","0.25","6.96"
"2015-01-14","12643.0","7.75","0.25","6.96"
"2015-01-15","12680.0","7.75","0.25","6.96"
"2015-01-16","12656.0","7.75","0.25","6.96"
"2015-01-19","12675.0","7.75","0.25","6.96"
"2015-01-20","12722.0","7.75","0.25","6.96"
"2015-01-21","12620.0","7.75","0.25","6.96"
"2015-01-22","12513.0","7.75","0.25","6.96"
"2015-01-23","12506.0","7.75","0.25","6.96"
"2015-01-26","12580.0","7.75","0.25","6.96"
"2015-01-27","12555.0","7.75","0.25","6.96"
"2015-01-28","12560.0","7.5","0.25","6.96"
"2015-01-29","12578.0","7.5","0.25","6.96"
"2015-01-30","12688.0","7.5","0.25","6.96"
"2015-02-02","12764.0","7.5","0.25","6.29"
"2015-02-03","12706.0","7.5","0.25","6.29"
"2015-02-04","12672.0","7.5","0.25","6.29"
"2015-02-05","12716.0","7.5","0.25","6.29"
"2015-02-06","12676.0","7.5","0.25","6.29"
"2015-02-09","12742.0","7.5","0.25","6.29"
"2015-02-10","12707.0","7.5","0.25","6.29"
"2015-02-11","12764.0","7.5","0.25","6.29"
"2015-02-12","12858.0","7.5","0.25","6.29"
"2015-02-13","12833.0","7.5","0.25","6.29"
"2015-02-16","12806.0","7.5","0.25","6.29"
"2015-02-17","12821.0","7.5","0.25","6.29"
"2015-02-18","12868.0","7.5","0.25","6.29"
"2015-02-20","12913.0","7.5","0.25","6.29"
"2015-02-23","12877.0","7.5","0.25","6.29"
"2015-02-24","12930.0","7.5","0.25","6.29"
"2015-02-25","12951.0","7.5","0.25","6.29"
"2015-02-26","12926.0","7.5","0.25","6.29"
"2015-02-27","12927.0","7.5","0.25","6.29"
"2015-03-02","13058.0","7.5","0.25","6.38"
"2015-03-03","13027.0","7.5","0.25","6.38"
"2015-03-04","13028.0","7.5","0.25","6.38"
"2015-03-05","13087.0","7.5","0.25","6.38"
"2015-03-06","13048.0","7.5","0.25","6.38"
"2015-03-09","13112.0","7.5","0.25","6.38"
"2015-03-10","13124.0","7.5","0.25","6.38"
"2015-03-11","13230.0","7.5","0.25","6.38"
"2015-03-12","13242.0","7.5","0.25","6.38"
"2015-03-13","13257.0","7.5","0.25","6.38"
"2015-03-16","13303.0","7.5","0.25","6.38"
"2015-03-17","13275.0","7.5","0.25","6.38"
"2015-03-18","13230.0","7.5","0.25","6.38"
"2015-03-19","13073.0","7.5","0.25","6.38"
"2015-03-20","13140.0","7.5","0.25","6.38"
"2015-03-23","13141.0","7.5","0.25","6.38"
"2015-03-24","13037.0","7.5","0.25","6.38"
"2015-03-25","12997.0","7.5","0.25","6.38"
